Date:  18:54; domingo; agosto 31; 2025
Model name: Prot 2
Study name: Thermal 1(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Celsius)  ,X (mm)  ,Y (mm)  ,Z (mm)
9738  ,1.436e+02   ,124.69  ,18  ,-159.07
9739  ,1.408e+02   ,183.82  ,18  ,-197.13
9740  ,1.416e+02   ,98.882  ,18  ,-195.69
9741  ,1.415e+02   ,122.24  ,18  ,-196.31
9742  ,1.447e+02   ,68.304  ,18  ,-157.21
9743  ,1.398e+02   ,-265.43  ,18  ,195.14
9744  ,1.441e+02   ,-115.9  ,18  ,157.21
9745  ,1.407e+02   ,-184.72  ,18  ,-198.27
9746  ,1.405e+02   ,-174.67  ,18  ,-197.88
9747  ,1.427e+02   ,-244  ,18  ,-162.32
9748  ,1.418e+02   ,-298.02  ,18  ,-161.05
9749  ,1.381e+02   ,-338.53  ,18  ,-193.41
9750  ,1.367e+02   ,-398.28  ,18  ,-171.54
9751  ,1.409e+02   ,-322.67  ,18  ,-153.49
9752  ,1.394e+02   ,-349.71  ,18  ,-170.05
9753  ,1.375e+02   ,-361.78  ,18  ,196.93
9754  ,1.403e+02   ,-164.3  ,18  ,-195.53
9755  ,1.431e+02   ,-186.71  ,18  ,-158.56
9756  ,1.403e+02   ,-149.84  ,18  ,-194.52
9757  ,1.414e+02   ,-123.35  ,18  ,-196.8
9758  ,1.411e+02   ,-315.81  ,18  ,156.92
9759  ,1.401e+02   ,-253.55  ,18  ,198
9760  ,1.453e+02   ,-1.5597  ,18  ,157.16
9761  ,1.425e+02   ,-57.647  ,18  ,198.07
9762  ,1.422e+02   ,-68.122  ,18  ,197.18
9763  ,1.398e+02   ,350.26  ,18  ,163.71
9764  ,1.398e+02   ,267.49  ,18  ,194.66
9765  ,1.418e+02   ,298.98  ,18  ,161.07
9766  ,1.395e+02   ,349.02  ,18  ,-169.71
9767  ,1.403e+02   ,153.95  ,18  ,193.65
9768  ,1.431e+02   ,183.01  ,18  ,159.64
9769  ,1.403e+02   ,-206.82  ,18  ,195.76
