Date:  22:03; quinta-feira; setembro 04; 2025
Model name: Prot 2
Study name: Thermal 2(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Celsius)  ,X (mm)  ,Y (mm)  ,Z (mm)
11276  ,1.931e+02   ,418.95  ,18  ,209
11277  ,1.926e+02   ,428.97  ,18  ,209
11278  ,1.922e+02   ,438.98  ,18  ,209
11279  ,1.921e+02   ,449  ,18  ,199.05
11280  ,1.924e+02   ,449  ,18  ,189.1
11281  ,1.927e+02   ,449  ,18  ,179.14
11282  ,1.929e+02   ,449  ,18  ,169.19
11283  ,1.932e+02   ,449  ,18  ,159.24
11284  ,1.934e+02   ,449  ,18  ,149.29
11285  ,1.936e+02   ,449  ,18  ,139.33
11286  ,1.938e+02   ,449  ,18  ,129.38
11287  ,1.940e+02   ,449  ,18  ,119.43
11288  ,1.941e+02   ,449  ,18  ,109.48
11289  ,1.943e+02   ,449  ,18  ,99.524
11290  ,1.944e+02   ,449  ,18  ,89.571
11291  ,1.945e+02   ,449  ,18  ,79.619
11292  ,1.946e+02   ,449  ,18  ,69.667
11293  ,1.947e+02   ,449  ,18  ,59.714
11294  ,1.948e+02   ,449  ,18  ,49.762
11295  ,1.949e+02   ,449  ,18  ,39.81
11296  ,1.949e+02   ,449  ,18  ,29.857
11297  ,1.950e+02   ,449  ,18  ,19.905
11298  ,1.950e+02   ,449  ,18  ,9.9524
11299  ,1.950e+02   ,449  ,18  ,-1.0598E-13
11300  ,1.950e+02   ,449  ,18  ,-9.9524
11301  ,1.950e+02   ,449  ,18  ,-19.905
11302  ,1.949e+02   ,449  ,18  ,-29.857
11303  ,1.949e+02   ,449  ,18  ,-39.81
11304  ,1.948e+02   ,449  ,18  ,-49.762
11305  ,1.947e+02   ,449  ,18  ,-59.714
11306  ,1.946e+02   ,449  ,18  ,-69.667
11307  ,1.945e+02   ,449  ,18  ,-79.619
11308  ,1.944e+02   ,449  ,18  ,-89.571
11309  ,1.943e+02   ,449  ,18  ,-99.524
11310  ,1.941e+02   ,449  ,18  ,-109.48
11311  ,1.940e+02   ,449  ,18  ,-119.43
11312  ,1.938e+02   ,449  ,18  ,-129.38
11313  ,1.936e+02   ,449  ,18  ,-139.33
11314  ,1.934e+02   ,449  ,18  ,-149.29
11315  ,1.932e+02   ,449  ,18  ,-159.24
11316  ,1.929e+02   ,449  ,18  ,-169.19
11317  ,1.927e+02   ,449  ,18  ,-179.14
11318  ,1.924e+02   ,449  ,18  ,-189.1
11319  ,1.921e+02   ,449  ,18  ,-199.05
11320  ,1.965e+02   ,216.79  ,18  ,-200.3
11321  ,1.965e+02   ,226.79  ,18  ,-200.38
11322  ,1.965e+02   ,206.74  ,18  ,-200.3
11323  ,1.967e+02   ,196.76  ,18  ,-200.38
11324  ,1.968e+02   ,187.04  ,18  ,-200.44
11325  ,1.968e+02   ,177.45  ,18  ,-200.42
11326  ,1.967e+02   ,167.61  ,18  ,-200.38
11327  ,1.966e+02   ,157.61  ,18  ,-200.3
11328  ,1.967e+02   ,147.57  ,18  ,-200.3
11329  ,1.968e+02   ,137.53  ,18  ,-200.3
11330  ,1.971e+02   ,127.58  ,18  ,-200.37
11331  ,1.973e+02   ,118.06  ,18  ,-200.39
11332  ,1.973e+02   ,108.39  ,18  ,-200.39
11333  ,1.973e+02   ,98.463  ,18  ,-200.33
11334  ,1.973e+02   ,88.435  ,18  ,-200.3
11335  ,1.975e+02   ,78.392  ,18  ,-200.3
11336  ,1.977e+02   ,68.441  ,18  ,-200.37
11337  ,1.978e+02   ,58.907  ,18  ,-200.39
11338  ,1.978e+02   ,49.254  ,18  ,-200.39
11339  ,1.977e+02   ,39.314  ,18  ,-200.31
11340  ,1.977e+02   ,29.276  ,18  ,-200.3
